Crop,State,Season,Area,Rainfall,Temperature,Humidity,Soil pH,Nitrogen,Phosphorus,Potassium,Fertilizer,Yield
Potato,Madhya Pradesh,Zaid,0.98,771.1,33.1,77.8,6.91,104.6,32.3,173.6,168.6,25.31
Maize,Madhya Pradesh,Rabi,2.06,1228.6,27.7,72.7,7.12,117.6,39.3,97.9,78.0,4.83
Groundnut,West Bengal,Kharif,5.03,1076.7,24.4,80.9,6.73,151.7,54.0,66.6,110.4,3.06
Groundnut,Madhya Pradesh,Kharif,1.72,1192.0,22.0,67.1,6.76,103.8,43.4,136.8,103.5,2.89
Sugarcane,Uttar Pradesh,Rabi,2.79,452.1,28.5,70.4,6.96,135.3,69.9,60.5,109.8,100.9
Groundnut,Haryana,Kharif,3.68,914.9,31.0,62.2,6.09,140.0,51.1,171.5,124.4,3.37
Maize,Karnataka,Zaid,6.12,997.8,26.9,77.3,5.12,82.6,46.2,106.1,108.5,4.21
Wheat,Uttar Pradesh,Zaid,1.85,1155.2,27.7,65.0,6.08,123.9,43.4,124.6,158.9,3.93
Cotton,Haryana,Rabi,2.09,1305.6,24.7,76.2,,194.0,59.1,127.3,120.4,2.92
Potato,Gujarat,Kharif,3.5,625.2,26.9,62.7,6.73,104.8,62.8,95.4,68.6,27.37
Pulses,West Bengal,Kharif,6.32,1128.4,18.7,59.8,7.0,96.4,77.7,77.9,118.3,1.65
Cotton,Andhra Pradesh,Zaid,3.75,589.1,19.7,66.3,5.81,44.6,26.0,83.5,145.6,2.17
Potato,Gujarat,Rabi,4.14,1375.8,17.4,56.0,6.03,116.6,88.7,66.1,181.8,
Potato,Madhya Pradesh,Kharif,4.23,1202.5,25.3,38.9,6.97,199.2,91.0,109.0,27.4,26.33
Potato,Maharashtra,Rabi,2.02,752.4,30.4,56.2,6.32,166.6,63.3,67.6,81.8,25.24
Wheat,Punjab,Zaid,4.08,569.5,28.0,72.9,7.8,142.0,86.0,79.5,137.9,3.86
Rice,Andhra Pradesh,Rabi,2.15,492.3,32.9,71.7,6.13,178.5,53.5,132.1,229.3,4.19
Maize,Andhra Pradesh,Rabi,1.2,540.9,34.8,58.8,6.56,115.7,42.0,158.3,140.9,5.01
Groundnut,Maharashtra,Rabi,5.8,1048.0,25.5,73.2,6.12,177.5,32.3,119.8,31.8,2.68
Pulses,Tamil Nadu,Zaid,4.05,752.1,28.9,73.9,5.46,139.9,82.8,135.4,220.1,1.62
Potato,Madhya Pradesh,Zaid,2.81,485.9,21.3,74.1,6.49,119.6,75.7,48.4,116.9,24.19
Maize,Haryana,Zaid,6.89,1014.6,26.8,51.5,6.19,42.2,84.1,,233.4,5.07
Rice,Gujarat,Kharif,1.1,876.5,18.4,64.8,5.23,215.0,22.6,109.6,171.5,4.77
Cotton,Maharashtra,Zaid,9.44,1188.2,22.2,67.0,6.23,154.7,56.9,109.0,171.1,2.23
Wheat,West Bengal,Zaid,5.73,556.5,21.3,93.5,6.61,77.3,57.8,124.7,139.7,3.94
Pulses,Gujarat,Rabi,4.29,629.5,25.7,73.2,6.46,159.0,72.7,131.0,216.0,1.79
Groundnut,Madhya Pradesh,Rabi,4.28,360.6,32.2,63.5,7.0,125.6,38.8,100.5,117.9,2.68
Maize,Karnataka,Kharif,5.28,548.5,32.1,66.1,6.38,123.4,40.0,128.0,139.4,5.45
Cotton,Madhya Pradesh,Zaid,4.67,1222.5,28.3,52.0,7.11,126.4,35.5,79.9,31.4,2.09
Wheat,Uttar Pradesh,Rabi,8.3,1070.9,30.9,74.8,6.3,208.6,47.8,123.2,203.3,4.71
Sugarcane,Madhya Pradesh,Zaid,2.12,839.4,27.1,61.5,5.74,157.8,86.7,68.9,154.3,80.47
Wheat,Haryana,Kharif,5.77,1187.9,33.3,88.7,6.56,82.3,53.8,120.0,170.8,4.7
Maize,Haryana,Zaid,4.52,499.4,,57.5,7.46,154.1,53.7,53.7,172.8,5.1
Rice,Andhra Pradesh,Kharif,7.42,746.6,31.5,83.6,7.93,134.1,56.2,108.6,119.2,5.22
Rice,Andhra Pradesh,Kharif,4.99,850.3,29.6,78.0,7.25,182.6,91.6,140.2,124.5,4.55
Potato,Madhya Pradesh,Rabi,1.45,851.9,24.5,70.3,7.65,117.5,44.8,104.1,112.8,25.39
Cotton,Haryana,Zaid,6.13,973.4,31.5,66.2,6.55,106.9,73.6,87.9,187.5,2.46
Potato,Tamil Nadu,Kharif,2.2,1085.9,30.6,67.0,6.53,60.4,50.4,108.7,239.7,27.86
Groundnut,Karnataka,Rabi,1.3,883.2,20.6,61.9,7.43,134.6,47.1,102.7,195.5,2.75
Rice,Madhya Pradesh,Rabi,4.05,443.4,26.2,65.5,6.05,111.6,46.4,92.9,50.9,4.16
Groundnut,Andhra Pradesh,Rabi,4.31,524.5,22.9,64.6,7.26,102.3,29.5,101.3,82.8,2.68
Potato,Madhya Pradesh,Rabi,1.34,1035.3,27.1,68.1,7.33,68.4,83.2,113.5,122.7,26.22
Rice,Andhra Pradesh,Zaid,7.87,993.9,33.6,67.5,6.28,136.6,25.2,146.2,140.3,4.39
Sugarcane,Madhya Pradesh,Rabi,5.6,411.9,21.1,63.8,6.78,155.8,62.4,119.3,228.6,93.2
Sugarcane,Gujarat,Rabi,1.8,1004.0,21.7,60.9,6.61,162.9,91.5,57.5,164.7,104.02
Sugarcane,Maharashtra,Rabi,2.13,815.4,20.5,73.8,7.1,127.3,93.3,110.2,198.7,99.44
Groundnut,Maharashtra,Zaid,5.91,628.3,30.1,56.3,6.39,100.6,82.3,104.6,96.5,2.32
Potato,Karnataka,Zaid,4.89,,23.2,57.6,5.69,170.3,58.3,114.5,115.5,22.66
Pulses,Haryana,Rabi,5.27,1280.1,28.9,59.3,7.79,150.2,47.8,100.3,98.1,1.86
Rice,Gujarat,Kharif,4.85,1330.9,30.9,54.6,7.13,137.3,58.3,159.2,49.5,4.42
Rice,Tamil Nadu,Rabi,1.8,843.2,28.1,60.8,6.13,98.5,30.1,60.2,187.6,4.41
Potato,West Bengal,Zaid,2.87,250.0,34.6,75.3,6.63,157.4,71.5,92.8,150.9,24.9
Potato,Andhra Pradesh,Kharif,4.61,890.6,19.4,80.1,5.75,126.6,20.4,33.2,132.2,27.18
Groundnut,Uttar Pradesh,Kharif,1.31,926.3,38.1,60.9,6.2,140.4,59.5,106.6,125.4,2.97
Pulses,Tamil Nadu,Rabi,6.07,250.0,21.9,77.9,5.63,176.9,48.3,126.8,111.0,1.7
Rice,Tamil Nadu,Rabi,6.13,1044.2,32.5,57.9,6.6,60.8,63.5,60.2,173.5,4.19
Maize,Punjab,Kharif,1.74,689.5,30.7,84.8,6.88,100.4,72.7,117.2,202.1,5.37
Wheat,Uttar Pradesh,Zaid,3.9,844.8,21.9,52.9,6.21,137.6,46.1,61.0,206.2,4.15
Cotton,Punjab,Kharif,7.41,980.1,30.1,68.1,7.38,85.1,,136.0,152.9,2.85
Potato,Tamil Nadu,Zaid,1.75,1190.4,27.8,73.9,7.19,76.0,57.1,77.6,149.4,23.57
Cotton,Maharashtra,Kharif,10.57,583.6,16.3,66.6,8.08,111.1,48.0,143.4,100.7,2.63
Cotton,Haryana,Zaid,3.55,547.2,29.9,55.5,6.23,110.9,120.0,144.9,195.4,2.39
Groundnut,Gujarat,Zaid,1.42,802.2,27.7,75.3,6.67,119.9,59.5,85.3,132.0,2.64
Sugarcane,Gujarat,Rabi,6.33,697.6,33.4,87.8,6.74,151.0,52.4,97.1,140.4,93.3
Cotton,Punjab,Kharif,11.57,867.3,28.5,50.6,6.11,180.6,56.3,108.8,193.6,2.93
Maize,Maharashtra,Rabi,6.54,1327.1,35.8,77.2,5.57,94.8,74.0,125.0,55.1,4.41
Pulses,Maharashtra,Rabi,5.35,1104.5,17.7,74.6,6.42,89.5,47.5,137.8,74.6,
Sugarcane,Uttar Pradesh,Rabi,1.32,672.9,19.3,85.9,6.82,175.3,59.7,124.6,141.1,91.25
Wheat,Tamil Nadu,Kharif,3.91,746.2,23.1,72.9,7.38,132.5,60.7,115.8,150.8,4.18
Maize,Gujarat,Zaid,1.71,1486.4,23.8,51.9,6.36,82.7,36.9,78.2,128.2,3.77
Cotton,Haryana,Rabi,11.04,873.8,30.3,83.7,6.98,81.1,87.1,139.2,138.0,3.03
Cotton,Uttar Pradesh,Rabi,11.79,1110.9,22.0,83.5,6.3,120.6,71.1,132.4,43.1,2.79
Potato,Gujarat,Zaid,2.9,763.6,27.5,56.2,6.34,133.9,79.3,150.6,99.6,25.52
Rice,Haryana,Kharif,7.13,914.6,31.7,79.3,6.39,40.0,61.2,102.8,209.1,4.67
Rice,Maharashtra,Kharif,2.72,743.3,29.6,68.1,6.84,170.2,109.3,145.9,228.6,5.23
Cotton,Haryana,Rabi,5.78,1477.1,21.4,72.4,6.8,100.9,61.9,177.7,208.3,2.45
Cotton,Punjab,Zaid,3.35,288.6,24.2,40.5,6.57,92.2,58.3,124.1,31.1,2.51
Cotton,Punjab,Rabi,3.1,721.5,27.7,63.1,6.61,117.2,,93.6,198.4,2.86
Maize,Madhya Pradesh,Zaid,5.88,335.3,24.2,50.9,6.81,89.5,59.7,156.0,165.7,4.54
Maize,Karnataka,Zaid,3.29,974.2,36.3,69.1,7.02,182.2,69.0,100.7,126.0,4.31
Pulses,Punjab,Zaid,1.66,1022.0,22.5,60.1,6.1,109.7,54.1,103.2,89.8,1.74
Groundnut,Punjab,Zaid,5.52,1365.7,21.4,53.8,5.37,147.1,50.9,169.8,194.1,2.78
Cotton,Punjab,Rabi,9.58,1211.1,36.6,71.7,6.88,123.9,47.9,82.5,144.1,2.99
Maize,Karnataka,Kharif,2.44,715.1,28.8,63.1,5.77,151.1,35.5,141.2,228.5,4.75
Sugarcane,Punjab,Zaid,8.6,958.6,25.4,50.4,7.26,127.9,37.1,79.5,116.9,93.91
Cotton,Gujarat,Kharif,11.36,810.6,33.1,66.7,6.18,153.9,68.1,101.1,233.9,2.73
Groundnut,Gujarat,Zaid,5.07,298.0,27.1,60.2,7.38,121.4,83.6,132.3,190.9,2.61
Groundnut,Uttar Pradesh,Rabi,5.0,523.2,28.4,75.2,6.11,116.9,81.6,97.3,112.7,2.82
Groundnut,Karnataka,Kharif,3.25,273.0,21.2,58.2,6.52,101.8,46.6,119.2,20.0,2.45
Cotton,Madhya Pradesh,Rabi,6.93,1186.8,31.4,60.3,7.74,96.6,56.4,98.6,111.9,2.46
Sugarcane,Maharashtra,Rabi,5.65,897.5,37.2,84.3,6.87,40.0,61.9,94.3,168.3,92.72
Pulses,Madhya Pradesh,Zaid,3.07,904.6,23.1,48.6,6.98,122.6,65.3,92.7,142.6,1.68
Groundnut,Madhya Pradesh,Zaid,2.36,1157.0,20.9,78.9,7.22,104.6,47.2,59.7,203.7,2.42
Groundnut,Madhya Pradesh,Zaid,2.34,317.8,28.6,68.6,7.22,144.6,44.7,148.0,122.5,2.35
Groundnut,Punjab,Kharif,5.3,468.8,33.3,74.8,7.71,90.9,49.8,120.9,88.5,2.9
Potato,Andhra Pradesh,Kharif,2.94,855.2,29.1,38.5,6.68,191.0,48.3,118.7,155.9,28.39
Potato,Maharashtra,Rabi,1.47,734.8,27.4,56.9,7.57,151.5,77.6,64.4,176.1,25.74
Rice,Punjab,Rabi,8.0,250.0,19.4,85.2,6.26,149.8,80.4,149.6,167.7,5.16
Cotton,Tamil Nadu,Rabi,9.69,1447.4,22.2,,7.08,174.8,56.5,83.1,165.8,2.43
Groundnut,Gujarat,Rabi,4.74,509.7,30.1,68.0,7.13,64.7,69.3,97.9,139.1,2.84
Wheat,Gujarat,Zaid,6.16,1017.2,31.6,69.2,7.22,61.6,15.0,158.3,135.6,3.9
Pulses,West Bengal,Zaid,2.86,1138.0,18.2,70.0,7.86,177.4,56.5,76.2,148.7,1.62
Pulses,Uttar Pradesh,Zaid,5.1,375.0,31.6,53.6,5.9,141.0,49.5,175.4,209.7,1.52
Sugarcane,Uttar Pradesh,Rabi,3.28,760.6,26.6,45.8,7.56,80.1,66.3,90.5,92.9,105.27
Groundnut,Karnataka,Zaid,1.01,1117.2,31.3,60.1,7.35,202.2,53.7,100.7,121.5,2.34
Pulses,Gujarat,Rabi,4.82,689.6,30.5,72.8,6.21,111.9,26.1,85.4,201.1,1.68
Wheat,Karnataka,Rabi,3.25,892.1,15.4,85.6,6.51,147.4,15.0,142.1,167.9,4.39
Rice,West Bengal,Rabi,5.2,1257.9,24.7,60.3,6.77,187.5,51.4,108.1,176.7,4.69
Rice,Maharashtra,Rabi,3.65,931.2,28.8,51.3,6.22,200.5,47.0,93.6,130.7,4.17
Maize,Andhra Pradesh,Zaid,5.34,1308.0,29.0,62.7,7.0,185.2,59.1,86.5,225.7,4.69
Potato,Maharashtra,Kharif,4.86,683.2,32.6,61.4,6.66,94.1,70.0,138.6,145.2,26.7
Pulses,Karnataka,Rabi,1.03,1390.1,21.3,49.0,6.49,82.1,35.4,72.3,56.5,1.61
Sugarcane,Uttar Pradesh,Zaid,8.63,961.1,31.7,66.7,6.86,113.3,80.4,75.9,147.3,99.73
Cotton,Haryana,Kharif,9.89,490.9,30.3,61.3,5.62,72.4,44.2,78.6,211.9,2.94
Sugarcane,Uttar Pradesh,Zaid,8.65,1000.7,39.0,66.8,6.84,190.7,61.2,48.4,139.5,95.92
Maize,Uttar Pradesh,Zaid,5.09,1123.2,30.7,55.6,6.04,131.5,55.5,84.3,138.0,4.74
Cotton,Punjab,Kharif,2.48,773.6,28.6,71.6,6.66,115.3,35.1,146.5,130.1,2.72
Pulses,Uttar Pradesh,Rabi,3.99,1008.2,18.9,64.6,7.06,117.0,70.1,125.8,92.8,1.6
Sugarcane,Tamil Nadu,Zaid,2.56,677.5,28.1,60.3,6.54,56.1,82.1,121.6,149.3,99.92
Groundnut,Andhra Pradesh,Zaid,5.98,630.9,25.4,64.3,7.1,197.3,67.2,61.4,238.6,2.93
Rice,Haryana,Zaid,5.16,1071.2,29.4,73.6,6.12,137.7,50.2,108.5,138.8,4.41
Potato,Andhra Pradesh,Kharif,1.06,925.7,22.1,79.6,7.18,104.8,57.6,77.8,190.8,29.05
Cotton,Uttar Pradesh,Rabi,6.07,1191.2,26.1,71.3,5.66,163.1,75.4,100.7,121.9,2.69
Pulses,Tamil Nadu,Zaid,1.4,953.7,31.6,83.1,5.31,75.6,43.3,116.8,169.0,1.58
Cotton,Punjab,Kharif,8.79,1053.7,30.8,95.0,7.11,85.5,32.6,117.2,40.2,2.78
Pulses,West Bengal,Kharif,4.25,365.7,24.6,86.9,6.5,140.8,65.7,90.7,194.6,1.92
Maize,Gujarat,Rabi,1.97,466.3,27.1,72.9,6.43,205.8,27.8,123.6,85.8,
Sugarcane,West Bengal,Rabi,2.73,250.0,21.6,79.0,7.24,99.2,38.7,199.2,220.2,102.98
Pulses,Haryana,Rabi,6.06,996.8,32.4,81.8,7.22,148.4,57.8,141.6,142.3,1.97
Potato,Madhya Pradesh,Zaid,4.19,945.3,33.2,49.1,6.13,79.6,39.5,128.7,83.9,23.42
Maize,Uttar Pradesh,Zaid,3.67,677.5,38.9,74.6,5.33,134.0,42.1,50.6,112.5,4.55
Rice,Gujarat,Zaid,5.29,589.8,27.2,65.0,7.18,87.4,15.0,94.6,127.5,4.02
Cotton,Uttar Pradesh,Rabi,8.73,1099.7,28.5,56.5,5.91,120.6,47.9,83.1,174.0,2.62
Potato,Uttar Pradesh,Rabi,2.11,865.4,15.6,78.6,6.55,189.6,18.8,92.1,80.3,23.81
Rice,Andhra Pradesh,Kharif,6.0,406.3,24.8,73.5,7.15,110.4,22.7,139.6,183.7,4.65
Potato,Karnataka,Zaid,2.47,761.1,33.7,75.5,7.25,162.1,50.4,62.1,117.5,21.62
Maize,Gujarat,Kharif,5.33,1273.4,28.7,71.0,8.2,170.3,79.6,,203.6,5.1
Maize,Uttar Pradesh,Zaid,6.89,289.0,26.1,81.0,6.53,161.8,51.8,100.6,119.4,4.91
Wheat,Uttar Pradesh,Kharif,8.99,323.8,31.4,59.7,6.91,114.7,74.4,74.8,186.2,4.63
Rice,Madhya Pradesh,Kharif,7.19,858.5,31.2,61.7,7.92,111.8,28.3,84.6,114.8,4.31
Wheat,Haryana,Kharif,3.68,804.9,25.4,71.4,6.42,66.3,54.8,84.7,145.9,5.3
Pulses,Uttar Pradesh,Kharif,3.47,759.8,18.5,78.9,,105.1,66.4,115.1,212.6,1.81
Rice,Uttar Pradesh,Zaid,6.92,865.4,31.8,67.2,7.04,145.7,57.3,101.8,201.5,4.77
Groundnut,Gujarat,Rabi,5.0,1111.9,27.2,69.2,8.01,184.1,80.2,37.2,166.1,2.62
Wheat,Punjab,Zaid,6.85,1290.8,20.6,63.6,6.72,84.8,43.8,138.8,128.3,4.38
Cotton,Tamil Nadu,Kharif,7.88,836.1,23.2,89.2,6.82,116.1,40.3,105.3,235.8,2.74
Pulses,Tamil Nadu,Zaid,5.93,1360.2,18.1,60.2,8.2,163.3,59.3,141.7,155.9,1.63
Rice,Haryana,Zaid,5.19,920.2,32.1,67.6,7.2,176.2,64.8,74.6,116.5,4.7
Wheat,Gujarat,Rabi,8.72,963.8,29.0,44.0,5.72,61.6,42.6,84.0,191.2,4.13
Sugarcane,Andhra Pradesh,Zaid,6.09,510.9,19.2,73.5,5.77,74.8,82.4,101.0,127.2,92.78
Rice,Gujarat,Kharif,1.02,1104.7,27.4,60.6,7.4,96.7,63.6,80.4,97.3,4.17
Maize,Karnataka,Rabi,6.84,1035.6,22.6,74.0,6.5,120.4,83.2,103.8,115.7,5.37
Pulses,Tamil Nadu,Rabi,6.15,1262.1,24.3,68.3,7.91,40.0,50.5,127.6,87.8,1.83
Potato,Andhra Pradesh,Zaid,1.66,1274.4,25.7,75.6,6.58,170.2,56.2,51.2,138.9,22.7
Potato,Maharashtra,Rabi,3.3,892.5,18.8,62.0,7.33,163.3,32.8,173.3,176.3,28.48
Pulses,West Bengal,Rabi,5.5,876.2,32.6,61.1,6.63,114.7,37.9,31.9,115.5,1.9
Potato,Andhra Pradesh,Kharif,4.0,435.2,16.7,72.3,5.95,101.3,56.5,103.6,109.8,25.39
Cotton,Maharashtra,Rabi,10.82,941.2,28.1,85.4,5.51,90.6,38.2,126.7,201.1,2.56
Wheat,West Bengal,Rabi,9.52,1049.5,28.3,57.5,6.05,121.3,50.0,70.6,170.3,4.56
Pulses,Andhra Pradesh,Rabi,3.53,1536.9,33.5,63.3,5.83,67.3,57.4,96.4,139.5,1.6
Pulses,Tamil Nadu,Kharif,6.04,718.6,31.7,47.3,7.87,102.2,19.2,63.5,56.2,1.66
Wheat,Madhya Pradesh,Rabi,5.02,,32.9,58.9,7.05,139.0,63.5,81.6,202.8,4.31
Maize,Karnataka,Rabi,3.27,976.9,19.9,68.5,7.19,76.2,59.2,121.9,21.3,4.61
Groundnut,Punjab,Kharif,5.9,584.0,27.2,69.1,6.4,214.7,31.7,88.5,117.5,3.32
Pulses,Madhya Pradesh,Zaid,2.34,1002.9,25.7,77.2,5.79,124.2,57.4,129.2,106.9,1.57
Rice,Maharashtra,Kharif,1.25,1367.0,21.5,75.5,6.99,135.3,57.7,74.1,199.6,4.09
Groundnut,Punjab,Kharif,1.78,625.1,27.7,61.3,5.97,141.0,43.7,151.8,57.7,3.13
Pulses,West Bengal,Kharif,4.84,741.6,32.0,,7.09,143.6,15.9,124.5,76.7,1.72
Potato,Tamil Nadu,Kharif,4.59,1280.7,25.8,75.9,7.02,95.2,90.7,89.5,225.6,31.67
Pulses,Madhya Pradesh,Kharif,6.28,966.9,31.7,53.2,7.49,122.9,56.9,58.9,70.5,1.63
Cotton,Maharashtra,Rabi,4.63,,29.1,91.3,6.17,145.8,23.7,84.5,32.2,2.45
Pulses,West Bengal,Rabi,4.8,499.7,34.1,94.8,6.31,103.4,83.3,116.3,68.2,1.62
Pulses,Maharashtra,Kharif,3.68,485.7,28.7,65.7,5.49,155.4,66.2,30.0,166.1,1.79
Wheat,Tamil Nadu,Rabi,3.45,1070.2,25.0,54.1,7.96,125.2,22.4,146.6,218.2,4.43
Maize,Haryana,Rabi,6.6,1113.8,20.4,90.9,7.48,92.5,43.0,63.2,93.0,5.11
Maize,Punjab,Kharif,2.21,1233.4,24.4,77.5,6.32,90.5,61.3,113.6,157.9,5.43
Maize,Gujarat,Rabi,3.04,893.7,23.8,67.2,7.41,134.9,29.6,95.5,120.1,5.34
Cotton,West Bengal,Kharif,10.21,1094.6,26.8,68.3,5.91,146.3,56.5,53.1,232.3,2.74
Wheat,Haryana,Rabi,5.72,493.7,30.7,51.7,6.13,182.3,50.3,83.1,233.5,4.74
Wheat,Madhya Pradesh,Kharif,5.05,847.0,25.9,65.8,6.88,157.9,61.7,170.7,202.3,4.41
Cotton,Uttar Pradesh,Kharif,2.79,938.5,29.7,61.3,5.41,70.8,70.2,30.0,194.7,2.37
Sugarcane,Andhra Pradesh,Rabi,6.43,1253.3,18.8,61.4,5.12,169.2,68.8,130.1,95.1,99.01
Wheat,Maharashtra,Kharif,2.46,650.7,26.4,55.5,6.25,92.6,52.4,97.4,182.8,3.84
Sugarcane,Punjab,Zaid,4.54,819.0,27.0,60.6,6.83,119.0,48.4,69.7,189.6,96.66
Pulses,Madhya Pradesh,Zaid,1.52,922.3,32.6,67.2,6.72,187.9,45.5,113.3,247.0,1.64
Rice,Andhra Pradesh,Zaid,6.32,1573.4,28.6,67.0,6.06,49.5,79.0,122.3,128.3,3.92
Rice,Madhya Pradesh,Rabi,3.11,1109.7,27.5,65.9,5.37,102.0,75.6,110.2,89.0,4.34
Sugarcane,Andhra Pradesh,Zaid,5.14,785.8,22.2,62.9,5.87,171.7,74.5,150.8,151.7,89.9
Wheat,Tamil Nadu,Rabi,1.68,774.2,38.2,48.0,6.84,231.8,58.6,140.7,54.1,4.23
Sugarcane,Andhra Pradesh,Rabi,1.71,1315.7,30.1,55.1,6.99,116.2,72.3,98.0,162.7,90.9
Maize,Uttar Pradesh,Kharif,4.43,610.3,29.8,64.5,6.23,124.0,47.3,60.8,214.4,4.82
Wheat,Andhra Pradesh,Zaid,1.29,1240.7,28.7,80.3,7.43,85.9,30.4,103.2,192.4,3.78
Potato,Punjab,Zaid,0.59,817.7,27.5,71.0,7.36,93.0,31.3,83.9,170.9,25.71
Pulses,Gujarat,Kharif,3.94,788.1,28.5,47.7,6.66,168.2,52.5,114.0,126.6,1.92
Rice,Andhra Pradesh,Zaid,2.11,1134.6,24.8,79.3,7.09,130.6,116.5,160.6,103.1,4.52
Cotton,Andhra Pradesh,Rabi,5.43,919.7,27.6,83.3,6.04,141.4,17.6,88.6,146.0,2.77
Wheat,Madhya Pradesh,Rabi,4.52,611.6,26.3,77.2,7.96,125.8,40.9,168.6,226.7,4.72
Wheat,Uttar Pradesh,Zaid,4.22,307.7,26.7,71.2,6.74,85.5,72.5,145.1,192.1,3.71
Wheat,Punjab,Kharif,8.59,806.5,33.3,53.2,5.87,134.1,38.8,161.8,131.0,4.14
Cotton,Tamil Nadu,Zaid,5.95,762.2,20.6,55.3,5.98,69.1,54.6,75.2,44.1,1.98
Potato,Andhra Pradesh,Rabi,1.72,1157.4,21.1,61.9,6.19,121.4,54.3,74.7,141.7,26.96
Pulses,Maharashtra,Zaid,6.43,1110.7,32.4,52.5,7.54,105.8,61.0,52.2,137.3,1.53
Sugarcane,Gujarat,Rabi,4.77,922.3,34.0,72.2,6.28,71.5,52.2,135.2,180.6,98.58
Potato,Gujarat,Rabi,1.83,1317.2,32.4,63.3,7.53,115.2,64.7,144.6,163.3,25.87
Potato,Uttar Pradesh,Rabi,2.08,827.7,27.6,91.0,7.86,172.9,62.3,96.8,196.6,28.43
Sugarcane,Karnataka,Zaid,7.53,834.0,30.9,43.5,7.24,154.4,72.7,103.2,192.9,85.57
Wheat,Uttar Pradesh,Rabi,5.1,957.8,32.9,58.7,6.81,114.7,43.1,145.1,183.7,4.24
Pulses,West Bengal,Zaid,4.96,448.0,20.8,75.7,6.8,159.6,38.4,100.2,182.9,1.6
Rice,West Bengal,Rabi,6.77,874.2,19.3,68.0,6.87,108.9,79.5,78.3,150.7,4.71
Groundnut,Gujarat,Rabi,1.62,582.0,36.0,61.4,6.98,89.5,56.5,110.5,167.1,2.72
Potato,Maharashtra,Zaid,2.92,662.3,22.0,78.9,6.2,147.8,52.1,128.1,164.2,23.79
Groundnut,Andhra Pradesh,Zaid,5.86,930.4,21.3,61.2,6.95,133.0,52.3,67.5,132.9,2.5
Cotton,Gujarat,Rabi,2.0,712.6,24.3,91.5,7.18,68.2,50.3,60.5,129.8,2.44
Rice,Maharashtra,Rabi,6.45,250.0,29.4,66.4,6.56,40.0,54.4,141.0,133.9,4.4
Sugarcane,Punjab,Rabi,4.15,250.0,25.8,60.3,5.72,107.1,72.3,112.9,143.9,98.78
Pulses,Punjab,Zaid,5.37,628.0,29.4,69.9,6.69,118.1,41.8,,130.6,1.59
Pulses,Madhya Pradesh,Zaid,5.09,995.4,27.7,,5.53,145.7,57.6,140.7,85.3,1.55
Groundnut,Gujarat,Kharif,5.85,740.4,23.0,53.8,5.98,137.8,50.0,82.8,50.7,2.9
Rice,Maharashtra,Zaid,5.49,708.6,24.6,65.7,5.77,191.5,65.2,107.5,127.5,4.05
Maize,Haryana,Kharif,6.78,926.7,30.1,71.4,7.39,136.3,61.0,83.2,149.6,5.74
Maize,Andhra Pradesh,Kharif,2.39,1113.5,28.5,79.1,6.0,148.5,15.0,147.5,89.0,5.11
Cotton,Uttar Pradesh,Rabi,11.49,1028.2,29.6,83.1,6.58,144.3,27.7,84.9,129.7,2.69
Pulses,West Bengal,Zaid,5.91,800.1,32.4,72.7,6.56,73.4,59.2,82.3,210.0,1.78
Rice,Haryana,Kharif,4.58,1206.6,24.7,47.4,5.44,193.6,54.1,74.8,88.1,4.53
Groundnut,Punjab,Kharif,2.65,390.2,21.8,73.8,6.15,126.9,46.5,74.5,242.0,3.38
Rice,Uttar Pradesh,Rabi,5.48,882.7,24.9,56.7,6.62,50.8,37.4,79.0,133.3,4.6
Sugarcane,Gujarat,Rabi,8.93,774.0,26.4,53.3,6.77,155.7,29.8,120.6,142.4,94.93
Pulses,Punjab,Zaid,5.38,948.5,28.8,82.9,5.28,178.1,38.3,104.9,237.7,1.79
Rice,Madhya Pradesh,Rabi,4.07,985.9,28.3,57.9,6.94,101.3,74.9,123.3,139.5,4.6
Rice,Andhra Pradesh,Kharif,1.17,750.7,37.3,68.2,6.29,105.2,63.4,126.0,157.9,4.84
Rice,Haryana,Kharif,2.32,695.1,27.3,72.8,6.53,141.1,71.5,172.0,255.8,5.15
Groundnut,West Bengal,Rabi,3.94,,35.6,71.5,8.2,103.3,54.5,146.9,155.3,2.85
Potato,West Bengal,Rabi,2.36,1392.9,24.3,61.4,6.97,,75.3,101.5,68.9,26.74
Maize,West Bengal,Zaid,4.15,1144.6,24.1,70.6,6.99,106.5,83.5,107.3,162.3,4.5
Cotton,Andhra Pradesh,Rabi,9.19,1070.8,32.2,69.0,8.2,98.4,34.4,130.0,103.7,2.45
Potato,Andhra Pradesh,Rabi,0.71,1163.9,24.9,76.7,6.64,108.1,92.9,85.2,259.6,28.24
Pulses,Maharashtra,Rabi,5.84,635.0,30.8,72.3,7.28,101.9,54.6,92.8,203.0,1.69
Rice,Punjab,Zaid,6.36,759.1,19.2,71.3,6.77,115.2,47.9,124.9,197.6,4.5
Potato,Haryana,Rabi,2.92,1152.0,22.9,79.0,6.24,135.2,47.8,98.6,156.7,24.7
Wheat,Gujarat,Rabi,6.32,964.4,22.4,84.3,6.55,154.1,90.1,87.6,136.6,4.43
Rice,Andhra Pradesh,Kharif,3.15,634.6,30.5,68.9,8.2,64.6,47.8,140.4,180.9,4.82
